id	chamber_type_code	pref_code	district_number	name
3dd9c0995d54c0ab	1	01	1	北海道第1区
165940940a02a187	1	01	2	北海道第2区
2ec42bc1f3e672fc	1	01	3	北海道第3区
df4865fca1f15916	1	01	4	北海道第4区
9553627933b214db	1	01	5	北海道第5区
ef32cc5c2b7c6209	1	01	6	北海道第6区
b0ab628c9e146218	1	01	7	北海道第7区
9989a37538faecc4	1	01	8	北海道第8区
61ab550f4c85a975	1	01	9	北海道第9区
db757b73dcd50120	1	01	10	北海道第10区
90ee7f52a4de94f3	1	01	11	北海道第11区
8a21bc0d16513bf4	1	01	12	北海道第12区
cdad86ca9450d1c1	1	02	1	青森県第1区
f00f2e7bca65e9f8	1	02	2	青森県第2区
6629ddae3736e894	1	02	3	青森県第3区
3e34b5dc434bcf31	1	03	1	岩手県第1区
340ab11db8d1a743	1	03	2	岩手県第2区
f8b7291025863577	1	03	3	岩手県第3区
8c6c42f379f08f03	1	04	1	宮城県第1区
216da54b5931a6d3	1	04	2	宮城県第2区
c0aa4a0be7ba2839	1	04	3	宮城県第3区
a0a531122de46561	1	04	4	宮城県第4区
40794500a2845c94	1	04	5	宮城県第5区
11382b8de6b4b042	1	05	1	秋田県第1区
d8b5e2791d0d1cee	1	05	2	秋田県第2区
285b71922aaa01d8	1	05	3	秋田県第3区
5d9e09b09389f1e4	1	06	1	山形県第1区
ae4def1ecaae8be2	1	06	2	山形県第2区
0fe39b99b379952d	1	06	3	山形県第3区
34be1021b378c570	1	07	1	福島県第1区
f8b2f96ed09b16bf	1	07	2	福島県第2区
be1722b1d104ffb2	1	07	3	福島県第3区
fde3f2e7127f6810	1	07	4	福島県第4区
e18037f42fd038fa	1	08	1	茨城県第1区
3ef58410b868298f	1	08	2	茨城県第2区
1090b9e9eba719a3	1	08	3	茨城県第3区
9fbb55aa1ca6da90	1	08	4	茨城県第4区
0c0ad5934ba82dd2	1	08	5	茨城県第5区
084ae23e6996e701	1	08	6	茨城県第6区
c6d537e112156be1	1	08	7	茨城県第7区
11bde34a6593b3da	1	09	1	栃木県第1区
5f302d143dace627	1	09	2	栃木県第2区
1ff7b91c979ea344	1	09	3	栃木県第3区
