party_id	name	short_name	color_code	notes	logo_url	created_at	updated_at	is_active
ldp	自由民主党		#124391	LDP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
cdp	立憲民主党		#005299	CDP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
jip	日本維新の会		#A8C300	JIP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
komei	公明党		#F39800	Komeito		2025-12-29 05:04:44	2025-12-29 05:04:44	0
dpfp	国民民主党		#FFD700	DPFP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
jcp	日本共産党		#DB001C	JCP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
reiwa	れいわ新選組		#E6007E	Reiwa		2025-12-29 05:04:44	2025-12-29 05:04:44	0
sdp	社会民主党		#00A1E9	SDP		2025-12-29 05:04:44	2025-12-29 05:04:44	0
sansei	参政党		#FF8C00	Sanseito		2025-12-29 05:04:44	2025-12-29 05:04:44	0
cpj	日本保守党		#04a3ffff	CPJ		2025-12-29 05:04:44	2025-12-29 05:04:44	1
